,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_betaa1,param_betaa2,param_decay,param_drop_end,param_drop_middle,param_loss_mu,param_lr,param_n_conv2,param_n_conv3,param_n_resid,params
0,0.9427581430470309,0.9475359152584644,0.9558801723507161,0.9487246639668365,0.005422578363282222,1,0.9544504650394732,0.9572729988767705,0.9676115932421794,0.9597783523861411,0.005657527201124974,6161.870477199554,444.53538777939866,16.808826128641766,0.03333332369058868,100,100,0.1,0.0,0.3,0.5141028746767724,0.00089642917758777,64,64,4,"{'betaa1': 100, 'betaa2': 100, 'decay': 0.1, 'drop_end': 0.0, 'drop_middle': 0.3, 'loss_mu': 0.5141028746767724, 'lr': 0.00089642917758777, 'n_conv2': 64, 'n_conv3': 64, 'n_resid': 4}"
1,0.9439958386584244,0.9449891556981167,0.9502220255031216,0.9464022974693145,0.002731183991714238,1,0.9558378380490956,0.9521924189344272,0.959558276851703,0.955862844611742,0.003007150889741023,5605.298753817876,3.444143017135268,16.75866977373759,0.13050507034926656,10,100,0.1,0.0,0.3,0.5315105319216414,0.0006524515878824658,64,64,4,"{'betaa1': 10, 'betaa2': 100, 'decay': 0.1, 'drop_end': 0.0, 'drop_middle': 0.3, 'loss_mu': 0.5315105319216414, 'lr': 0.0006524515878824658, 'n_conv2': 64, 'n_conv3': 64, 'n_resid': 4}"
2,0.950941020235651,0.9398102268680808,0.9474787490741483,0.9460766497981513,0.0046510462863266645,1,0.9627109845459032,0.9475924982576098,0.9560307485439783,0.9554447437824972,0.006185989982624051,5494.159369071324,391.71274175630685,15.583003520965576,0.10806950292161978,50,140,0.04111099706664924,0.2739274162022035,0.6795868638427212,0.5618250275383873,0.0011648670869462067,54,32,4,"{'betaa1': 50, 'betaa2': 140, 'decay': 0.04111099706664924, 'drop_end': 0.2739274162022035, 'drop_middle': 0.6795868638427212, 'loss_mu': 0.5618250275383873, 'lr': 0.0011648670869462067, 'n_conv2': 54, 'n_conv3': 32, 'n_resid': 4}"
3,0.9490762297075177,0.9417934244381707,0.9456108996368185,0.9454935166219411,0.0029743676484821117,1,0.960609085139697,0.9509438061601032,0.9532252893683979,0.9549260602227326,0.00412503499480594,5789.0277988910675,253.58165827557522,16.76897660891215,0.04827311378365564,100,100,0.09710613753555301,0.0,0.3,0.5981458675640993,0.000818335971183672,64,64,4,"{'betaa1': 100, 'betaa2': 100, 'decay': 0.09710613753555301, 'drop_end': 0.0, 'drop_middle': 0.3, 'loss_mu': 0.5981458675640993, 'lr': 0.000818335971183672, 'n_conv2': 64, 'n_conv3': 64, 'n_resid': 4}"
4,0.9474827625506074,0.941047481509989,0.947384352914684,0.9453048425296271,0.003010702025985109,1,0.9601486164697924,0.9492988666487472,0.9560684789175502,0.9551719873453632,0.0044745234866645864,5798.848638137181,282.2782091924757,16.73059932390849,0.018129362523972067,100,100,0.1,0.4,0.3,0.534493970577127,0.001152894582384234,64,64,4,"{'betaa1': 100, 'betaa2': 100, 'decay': 0.1, 'drop_end': 0.4, 'drop_middle': 0.3, 'loss_mu': 0.534493970577127, 'lr': 0.001152894582384234, 'n_conv2': 64, 'n_conv3': 64, 'n_resid': 4}"
5,0.9441807879854973,0.9448137957465754,0.9446344632599533,0.9445430146468959,0.00026639287767909385,1,0.9532291780393759,0.953423964863519,0.9531257423311622,0.9532596284113524,0.0001236381509795207,5838.086271524429,522.2276038770499,16.449156602223713,0.09493799729266819,100,100,0.0027610881723504352,0.09539417754338328,0.8,0.37021666115110224,0.0007957620555063427,59,64,4,"{'betaa1': 100, 'betaa2': 100, 'decay': 0.0027610881723504352, 'drop_end': 0.09539417754338328, 'drop_middle': 0.8, 'loss_mu': 0.37021666115110224, 'lr': 0.0007957620555063427, 'n_conv2': 59, 'n_conv3': 64, 'n_resid': 4}"
6,0.9428953795578666,0.9485323815340683,0.9402091803715833,0.9438790213046665,0.003468380842276639,1,0.9577453657250292,0.9581861887449745,0.9502229900389316,0.9553848481696452,0.0036544188552981717,4857.0090755621595,534.3639958350772,13.560914198557535,0.11117057826079942,79,100,0.0001,0.4,0.8,0.5862015314233333,0.0005217819911485753,32,64,4,"{'betaa1': 79, 'betaa2': 100, 'decay': 0.0001, 'drop_end': 0.4, 'drop_middle': 0.8, 'loss_mu': 0.5862015314233333, 'lr': 0.0005217819911485753, 'n_conv2': 32, 'n_conv3': 64, 'n_resid': 4}"
7,0.9473756183657289,0.942599429249857,0.9412656333305948,0.94374692124619,0.0026230386024150994,1,0.9591605150023235,0.9533169333144609,0.9535870451523389,0.9553548311563743,0.0026932832816383002,5602.526601791382,3.5633956165482616,16.823407570521038,0.05154964670875888,100,100,0.0001,0.4,0.3,1.621877588305755,0.0006558214865543904,64,64,4,"{'betaa1': 100, 'betaa2': 100, 'decay': 0.0001, 'drop_end': 0.4, 'drop_middle': 0.3, 'loss_mu': 1.621877588305755, 'lr': 0.0006558214865543904, 'n_conv2': 64, 'n_conv3': 64, 'n_resid': 4}"
8,0.9457034830819038,0.9443845248708487,0.9411284187518991,0.9437388379352419,0.0019227520614505853,1,0.9585530500464625,0.9519468792484693,0.9497117319412187,0.9534038870787169,0.003753609846763505,4401.6132663885755,186.69676474938325,13.619672854741415,0.06233458289858106,100,100,0.1,0.0,0.3,1.3229640037199089,0.0009356742708973184,32,64,4,"{'betaa1': 100, 'betaa2': 100, 'decay': 0.1, 'drop_end': 0.0, 'drop_middle': 0.3, 'loss_mu': 1.3229640037199089, 'lr': 0.0009356742708973184, 'n_conv2': 32, 'n_conv3': 64, 'n_resid': 4}"
9,0.9379894942580433,0.9442071072982982,0.9430918396499922,0.9417627989535436,0.0027067204202707133,1,0.9543359605385424,0.953863915380855,0.9519453794811589,0.9533817518001855,0.001033789384376187,5966.596892356873,250.6992468752659,16.805679162343342,0.04307005313811421,100,100,0.0004822305719458053,0.0,0.3,2.0,0.0007593518673368684,64,64,4,"{'betaa1': 100, 'betaa2': 100, 'decay': 0.0004822305719458053, 'drop_end': 0.0, 'drop_middle': 0.3, 'loss_mu': 2.0, 'lr': 0.0007593518673368684, 'n_conv2': 64, 'n_conv3': 64, 'n_resid': 4}"
