,betaa1,betaa2,decay,drop_end,drop_middle,loss_mu,lr,n_conv2,n_conv3,n_resid
0,100,1500,0.015560370138015383,0.0,0.6884329966834594,0.01,0.00044557109681541026,64,39,2
1,10,100,0.1,0.18485585416820177,0.47982200340742287,2.0,0.0014739165771018563,64,34,4
2,100,1342,0.0156869581243828,0.0,0.5046010956893219,2.0,0.00199899439307858,64,64,4
3,100,100,0.1,0.0,0.3,0.01,0.0019428528339599208,51,32,4
4,100,100,0.1,0.0,0.6170347901609894,0.01,0.002377649788894414,64,59,4
5,92,926,0.014309368114212826,9.499237973211729e-05,0.5442342332380582,1.9321963234091184,0.002923579177646796,62,50,3
6,44,1060,0.004694233454449477,0.37427733120125,0.5058870189644062,0.13354481057344986,0.0010865813837127249,51,38,3
7,10,100,0.1,0.0,0.5536351915411201,0.01,0.001788190831551293,64,50,2
8,100,100,0.1,0.0,0.6466503355937466,0.01,0.00138681219896292,49,32,4
9,44,446,0.00623222490980511,0.2735063409797671,0.3054374222579492,0.7322518046572213,0.002304698536944645,55,48,2
10,100,100,0.0001,0.4,0.3,0.01,0.003,32,32,1
11,86,786,0.08063387768018111,0.0670611076067163,0.6703681766770013,0.05205553185868754,0.0026914163166210153,48,36,2
12,14,966,0.015575979720765338,0.05298833342555255,0.6570569536864108,0.16530077740003452,0.0029386239221231916,46,34,1
13,100,1500,0.1,0.0,0.3,0.01,0.0017576662037249798,50,64,4
14,100,100,0.1,0.0,0.5588821584959542,0.01,0.0024032489022396725,34,32,2
15,100,100,0.07742637635811368,0.0,0.3,0.01,0.00214347597385781,64,32,3
16,70,341,0.06295211916163042,0.04105382088402886,0.3038815539509963,0.11955181809919832,0.0019949666124393023,48,64,4
17,18,182,0.02350914945161724,0.012928293935825244,0.6448023353941376,1.8370379243437411,0.0009700555610878768,39,34,4
18,100,1500,0.1,0.09690626967792425,0.6194816125203615,0.01,0.0005061308432629812,32,32,4
19,94,287,0.08541144093172334,0.39182312092381427,0.6349238138965638,0.14310340569355393,0.0007280913537483639,43,58,4
20,94,1500,0.08986039730086416,0.0,0.3,0.01,0.0025194088148908322,64,45,4
21,97,1181,0.07292693542499962,0.3665508748006549,0.3127642645106878,0.11050173050676228,0.00029378657944037804,58,61,4
22,100,1386,0.005590061267205843,0.04846176727553503,0.6067570255759954,0.13444122601492245,0.0008598850996000427,44,53,1
23,100,1500,0.0001,0.0,0.3,0.01,0.0006427865991870699,32,32,4
24,100,1500,0.1,0.0,0.3,0.01,0.003,53,64,4
25,100,1089,0.1,0.07436401381905879,0.3,0.01,0.0004489562444768856,32,64,2
26,10,100,0.1,0.0,0.3,0.01,0.0014924940833320112,64,64,4
27,13,1187,0.02668979599573404,0.3879723371639828,0.6882324832425855,0.0583599793959163,0.0017213310722472576,33,56,4
28,10,882,0.1,0.0,0.3,0.01,0.0017855125001902754,64,32,1
29,100,123,0.1,0.07271972140901911,0.5296875596638198,1.106991501218234,0.001822211354499126,51,32,4
30,100,100,0.1,0.0,0.3106021291549511,0.9746671353294774,0.0003106219055161722,64,64,3
31,81,549,0.0032336771633580323,0.21462642135266818,0.46357891821499747,0.017433473033850552,0.002687810988670865,63,38,2
