,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_betaa1,param_betaa2,param_decay,param_drop_end,param_drop_middle,param_loss_mu,param_lr,param_n_conv2,param_n_conv3,param_n_resid,params,rank_train_score
0,0.9812658758536036,0.9862319308270285,0.9857351160578379,0.9844109742461566,0.002233150114800694,69,0.9824035972833602,0.9883504709729716,0.9856373609422229,0.9854638097328516,0.002430900613182085,1477.532258907954,129.75696738388353,4.773389101028442,0.10108117781218326,93,1360,0.03795403684707464,0.268317763769018,0.43073931839172386,1.3223479507548144,0.0002986050526821056,40,64,2,"OrderedDict([('betaa1', 93), ('betaa2', 1360), ('decay', 0.03795403684707464), ('drop_end', 0.268317763769018), ('drop_middle', 0.43073931839172386), ('loss_mu', 1.3223479507548144), ('lr', 0.0002986050526821056), ('n_conv2', 40), ('n_conv3', 64), ('n_resid', 2)])",69
1,0.9749250545890166,0.9760164520709238,0.9728882351448522,0.974609913934931,0.0012963848471893775,131,0.9740566847178738,0.9771906420325908,0.9729005802035924,0.9747159689846856,0.0018123924211764005,1237.3626313209534,53.88999945881849,4.548797210057576,0.04969482379620168,26,1089,0.003598326336585827,0.013390775053061126,0.6015495399083765,1.187589598755364,2.742180207740325e-05,54,51,2,"OrderedDict([('betaa1', 26), ('betaa2', 1089), ('decay', 0.003598326336585827), ('drop_end', 0.013390775053061126), ('drop_middle', 0.6015495399083765), ('loss_mu', 1.187589598755364), ('lr', 2.742180207740325e-05), ('n_conv2', 54), ('n_conv3', 51), ('n_resid', 2)])",131
2,0.9769099586674269,0.967362252253819,0.9666480275080599,0.9703067461431019,0.004678271830346142,135,0.9765719147072955,0.9696274995108588,0.9660487760136192,0.9707493967439245,0.004368684168240869,1702.4705385367076,287.8574418815172,5.968234062194824,0.1538585017172779,20,1452,0.0010747432773211053,0.29184445835604766,0.3043093723463727,0.1509484996480148,2.2189239388159263e-05,56,41,3,"OrderedDict([('betaa1', 20), ('betaa2', 1452), ('decay', 0.0010747432773211053), ('drop_end', 0.29184445835604766), ('drop_middle', 0.3043093723463727), ('loss_mu', 0.1509484996480148), ('lr', 2.2189239388159263e-05), ('n_conv2', 56), ('n_conv3', 41), ('n_resid', 3)])",135
3,0.9588978340636172,0.9484679036474463,0.9134103309724283,0.9402586895611639,0.019456303713767453,145,0.9584528880564871,0.9511373284512397,0.91219699961783,0.9405957387085189,0.020301816659932186,1432.5191442966461,254.78262576956223,4.560261170069377,0.09001788370822174,42,1285,0.0694617827219013,0.21945728878849946,0.34024232430747536,0.04483379174677997,9.269409845291493e-06,38,55,2,"OrderedDict([('betaa1', 42), ('betaa2', 1285), ('decay', 0.0694617827219013), ('drop_end', 0.21945728878849946), ('drop_middle', 0.34024232430747536), ('loss_mu', 0.04483379174677997), ('lr', 9.269409845291493e-06), ('n_conv2', 38), ('n_conv3', 55), ('n_resid', 2)])",145
4,0.9901516354652364,0.9921256501223726,0.991366720335326,0.9912146686409784,0.0008130285993176522,7,0.9912835157254375,0.993794263074042,0.9908074933120244,0.9919617573705013,0.0013102689799298634,1472.5576923688252,46.09498478202448,5.726199547449748,0.15227069010271696,44,1060,0.004694233454449477,0.37427733120125,0.5058870189644062,0.13354481057344986,0.0010865813837127249,51,38,3,"OrderedDict([('betaa1', 44), ('betaa2', 1060), ('decay', 0.004694233454449477), ('drop_end', 0.37427733120125), ('drop_middle', 0.5058870189644062), ('loss_mu', 0.13354481057344986), ('lr', 0.0010865813837127249), ('n_conv2', 51), ('n_conv3', 38), ('n_resid', 3)])",9
5,0.9920602169582172,0.9827494695803867,0.986015777604971,0.9869418213811916,0.0038570862914945095,42,0.9934512742494467,0.9850045448192973,0.9862363659104331,0.9882307283263924,0.003725580098112778,1526.9901313781738,81.0285074472259,5.915099620819092,0.07068046695898295,82,834,0.0005941353205317311,0.034064839611589154,0.4228048741588424,0.7827082076400117,0.0008753922099741411,38,57,3,"OrderedDict([('betaa1', 82), ('betaa2', 834), ('decay', 0.0005941353205317311), ('drop_end', 0.034064839611589154), ('drop_middle', 0.4228048741588424), ('loss_mu', 0.7827082076400117), ('lr', 0.0008753922099741411), ('n_conv2', 38), ('n_conv3', 57), ('n_resid', 3)])",43
6,0.9847888136888162,0.9795691926096965,0.9859359067444884,0.9834313043476669,0.002770786401850562,81,0.985755879942463,0.9824253962042652,0.9856065205155821,0.98459593222077,0.0015360115036045713,1992.668927748998,254.13876497093682,7.379621267318726,0.05541345205106814,26,476,0.09721404702460719,0.3930035483589434,0.3366707676168256,1.1744749900408815,0.0004497622863093387,55,39,4,"OrderedDict([('betaa1', 26), ('betaa2', 476), ('decay', 0.09721404702460719), ('drop_end', 0.3930035483589434), ('drop_middle', 0.3366707676168256), ('loss_mu', 1.1744749900408815), ('lr', 0.0004497622863093387), ('n_conv2', 55), ('n_conv3', 39), ('n_resid', 4)])",80
7,0.9907096856689916,0.989460708293388,0.9916476743261109,0.9906060227628302,0.000895829078063582,10,0.9917451088791918,0.9915974047572463,0.9919979529583434,0.9917801555315938,0.0001653902782994605,1213.3412365118663,21.735533360958957,4.559421221415202,0.030698452491084403,44,446,0.00623222490980511,0.2735063409797671,0.3054374222579492,0.7322518046572213,0.002304698536944645,55,48,2,"OrderedDict([('betaa1', 44), ('betaa2', 446), ('decay', 0.00623222490980511), ('drop_end', 0.2735063409797671), ('drop_middle', 0.3054374222579492), ('loss_mu', 0.7322518046572213), ('lr', 0.002304698536944645), ('n_conv2', 55), ('n_conv3', 48), ('n_resid', 2)])",10
8,0.8041319868427932,0.785313976518443,0.820680745608936,0.8033755696567242,0.014448326643469771,149,0.8067512911882144,0.7837777790200408,0.8221765820102143,0.8042352174061564,0.015776881572459305,1024.8627611796062,3.991887621519606,4.018238226572673,0.040971190067924546,96,143,0.009622058345755516,0.026580278698108913,0.3166641856892369,0.2681685932659989,1.8608747548243765e-06,33,36,2,"OrderedDict([('betaa1', 96), ('betaa2', 143), ('decay', 0.009622058345755516), ('drop_end', 0.026580278698108913), ('drop_middle', 0.3166641856892369), ('loss_mu', 0.2681685932659989), ('lr', 1.8608747548243765e-06), ('n_conv2', 33), ('n_conv3', 36), ('n_resid', 2)])",149
9,0.9800620542134113,0.9819012585731286,0.9820472497609161,0.9813368541824853,0.0009033879113615356,99,0.9794087584576835,0.9834968038125051,0.9818277358162805,0.9815777660288231,0.0016782714076793153,1020.2801440556844,44.52704632626363,3.180869738260905,0.06816881325856583,44,801,0.005987083432838496,0.3981862053760126,0.35237124719992563,0.4080956701078821,5.365609216421652e-05,33,50,1,"OrderedDict([('betaa1', 44), ('betaa2', 801), ('decay', 0.005987083432838496), ('drop_end', 0.3981862053760126), ('drop_middle', 0.35237124719992563), ('loss_mu', 0.4080956701078821), ('lr', 5.365609216421652e-05), ('n_conv2', 33), ('n_conv3', 50), ('n_resid', 1)])",105
